Table,Field,Mô tả (Tiếng Việt)
Customer Churn,CustomerID,Một ID duy nhất xác định từng khách hàng
Customer Churn,Gender,"Giới tính của khách hàng: nam, nữ"
Customer Churn,Age,"Tuổi hiện tại của khách hàng, tính bằng năm, tại thời điểm quý tài chính kết thúc (quý 2 2022)"
Customer Churn,Married,"Cho biết nếu khách hàng đã kết hôn: Có, không"
Customer Churn,Number of Dependents,"Cho biết số lượng người phụ thuộc sống với khách hàng (người phụ thuộc có thể là con cái, cha mẹ, ông bà, v.v.)"
Customer Churn,City,Nơi cư trú chính của thành phố của khách hàng ở California
Customer Churn,Zip Code,Mã zip của nơi cư trú chính của khách hàng
Customer Churn,Latitude,Vĩ độ của nơi cư trú chính của khách hàng
Customer Churn,Longitude,Kinh độ của nơi cư trú chính của khách hàng
Customer Churn,Number of Referrals,Cho biết số lần khách hàng đã giới thiệu một người bạn hoặc thành viên gia đình cho công ty này cho đến nay
Customer Churn,Tenure in Months,Chỉ ra tổng số tháng mà khách hàng đã ở với công ty vào cuối quý được chỉ định ở trên
Customer Churn,Offer,"Xác định ưu đãi tiếp thị cuối cùng mà khách hàng chấp nhận: Không, cung cấp A, Ưu đãi B, Cung cấp C, Ưu đãi D, Cung cấp E"
Customer Churn,Phone Service,z
Customer Churn,Avg Monthly Long Distance Charges,"Cho biết các khoản phí đường dài trung bình của khách hàng, được tính đến cuối quý được chỉ định ở trên (nếu khách hàng không được đăng ký dịch vụ điện thoại gia đình, đây sẽ là 0)"
Customer Churn,Multiple Lines,"Cho biết nếu khách hàng đăng ký nhiều đường dây điện thoại với công ty: Có, không (nếu khách hàng không đăng ký dịch vụ điện thoại tại nhà, điều này sẽ không)"
Customer Churn,Internet Service,"Cho biết nếu khách hàng đăng ký dịch vụ Internet với công ty: Có, không"
Customer Churn,Internet Type,"Cho biết loại kết nối internet của khách hàng: DSL, sợi quang, cáp (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không có)"
Customer Churn,Avg Monthly GB Download,"Cho biết khối lượng tải xuống trung bình của khách hàng trong gigabyte, được tính đến cuối quý được chỉ định ở trên (nếu khách hàng không được đăng ký dịch vụ Internet, đây sẽ là 0)"
Customer Churn,Online Security,"Cho biết nếu khách hàng đăng ký một dịch vụ bảo mật trực tuyến bổ sung do công ty cung cấp: Có, không (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không)"
Customer Churn,Online Backup,"Cho biết nếu khách hàng đăng ký dịch vụ sao lưu trực tuyến bổ sung do công ty cung cấp: Có, không (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không)"
Customer Churn,Device Protection Plan,"Cho biết nếu khách hàng đăng ký kế hoạch bảo vệ thiết bị bổ sung cho thiết bị Internet của họ do công ty cung cấp: Có, không (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không)"
Customer Churn,Premium Tech Support,"Cho biết nếu khách hàng đăng ký kế hoạch hỗ trợ kỹ thuật bổ sung từ công ty với thời gian chờ giảm: Có, không (nếu khách hàng không đăng ký dịch vụ Internet, điều này sẽ không)"
